REGION,STATE,COUNTY,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RBIRTH2021,RDEATH2021,RNATURALCHG2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021
4,WASHINGTON,King County,2269675,2272571,2252305,2896,-20266,5932,23082,4062,16444,1870,6638,296,5984,632,-32802,928,-26818,10.20226853,7.268265473,2.934003053,2.644934358,-14.49851885,-11.8535845
4,WASHINGTON,Kitsap County,275611,275660,274314,49,-1346,723,2755,662,2832,61,-77,-4,42,3,-1331,-1,-1289,10.01865543,10.29866866,-0.280013237,0.152734493,-4.840228811,-4.687494318
4,WASHINGTON,Kittitas County,44337,44589,45499,252,910,96,381,90,402,6,-21,0,19,245,917,245,936,8.458396235,8.924607051,-0.466210816,0.421809786,20.3578723,20.77968209
4,WASHINGTON,Klickitat County,22735,22783,23118,48,335,47,196,67,256,-20,-60,1,11,69,388,70,399,8.540118952,11.15444108,-2.614322128,0.47929239,16.90594976,17.38524215
4,WASHINGTON,Lewis County,82149,82474,84398,325,1924,221,900,277,1107,-56,-207,0,37,385,2122,385,2159,10.78671077,13.26765425,-2.480943478,0.443453665,25.43266695,25.87612062
4,WASHINGTON,Lincoln County,10876,10920,11232,44,312,30,95,28,160,2,-65,0,1,44,382,44,383,8.577103648,14.44564825,-5.868544601,0.090285302,34.48898519,34.5792705
4,WASHINGTON,Mason County,65726,66028,67615,302,1587,179,644,199,832,-20,-188,2,59,324,1737,326,1796,9.637616635,12.45108236,-2.813465726,0.88294935,25.99462748,26.87757683
4,WASHINGTON,Okanogan County,42104,42118,42634,14,516,114,422,140,555,-26,-133,4,48,41,603,45,651,9.958467057,13.09703606,-3.138569001,1.132716632,14.22975269,15.36246932
4,WASHINGTON,Pacific County,23365,23470,23948,105,478,33,167,79,399,-46,-232,2,31,153,689,155,720,7.043738665,16.82905226,-9.785313594,1.307520351,29.06069425,30.3682146
4,WASHINGTON,Pend Oreille County,13401,13482,13886,81,404,17,123,50,201,-33,-78,0,3,116,488,116,491,8.988599825,14.68868752,-5.700087694,0.219234142,35.66208711,35.88132125
