,SUMLEV,REGION,DIVISION,STATE,COUNTY,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,RBIRTH2021,RDEATH2021,RNATURALCHG2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021,UID,code3,first_year_cases
BIRTHS2020,-0.6045249118495147,0.0020537732191840434,0.008420343689709866,-0.03410691889823818,-0.08258569462027043,0.996912130991842,0.9969620192837648,0.997099815831193,0.027966171630797367,-0.06324893575875119,1.0,0.9997565824822358,0.9769400159884165,0.9793184488152032,0.5753968061573428,0.5794779651693528,0.5351377191997412,0.8219645945006094,-0.1990933001706891,-0.2763779095451394,-0.18069222262294823,-0.20092958913731776,0.37912595313508674,-0.2803972751383774,0.9735267935682828,0.9735267935682828,0.9735267935682828,0.03508351873858383,-0.11438852550927164,0.10613076572516875,0.09186789442942044,-0.061221240876646585,-0.05719153946762542,-0.038584135470144346,,0.019565029995867473
BIRTHS2021,-0.5999790640898203,0.004052855912885902,0.010264034990325532,-0.03539986317435533,-0.0816527007564619,0.9965728726354959,0.996644313344175,0.9968921590670771,0.0403180810779748,-0.05159934787031669,0.9997565824822358,1.0,0.9764316529211179,0.9788889261365729,0.5762931314817553,0.5822759412858328,0.5379093991172698,0.8242247874595686,-0.1874506155027786,-0.2661131471858561,-0.16908251754143075,-0.19044220779986779,0.38341587428150237,-0.28287337370950694,0.9713827585835741,0.9713827585835741,0.9713827585835741,0.03580076276044437,-0.11301444070447574,0.10548210424521155,0.09151373153216241,-0.06005800058731062,-0.0560371110738149,-0.03985443589582453,,0.01991032927455189
DEATHS2020,-0.6508803434172451,-0.012046138825631734,-0.010507373663923198,-0.03845749122970461,-0.09141422427597241,0.9858528750290467,0.9858618420457144,0.986192120093741,0.004521107421268735,-0.04205031330795545,0.9769400159884165,0.9764316529211179,1.0,0.9997932048709975,0.3875005769269771,0.3936378624746055,0.6012641865637606,0.841743408629479,-0.15426482146087472,-0.21226310025860265,-0.1342927176432849,-0.1349019992093943,0.18601002936190963,-0.2619158971907074,0.9774983025597321,0.9774983025597321,0.9774983025597321,0.01958922876498399,-0.09356386472107596,0.08180083391324927,0.08840569212990461,-0.051477563678726086,-0.047545808268595925,-0.04274876340330433,,0.01923706825855364
DEATHS2021,-0.6472520156656291,-0.011515367690216504,-0.009646090541522306,-0.03889248913239105,-0.09103830970896822,0.9878052183271626,0.9878191171177012,0.988139111937969,0.007346284928248683,-0.043289307973100245,0.9793184488152032,0.9788889261365729,0.9997932048709975,1.0,0.39856185452054776,0.403813811905617,0.6021971171222152,0.8447291452722641,-0.1556014767450832,-0.2161542994820394,-0.13558727701028236,-0.138523106016806,0.1956356285179826,-0.269862107299745,0.978838395516647,0.978838395516647,0.978838395516647,0.019226402570351322,-0.0942543345925623,0.08212545443937228,0.08924219546404032,-0.051563864237652135,-0.04759200015028484,-0.0431745947149172,,0.01935965402795943
NATURALCHG2020,-0.11687616724930926,0.055010641945370906,0.07660468934429203,5.278432017944442e-05,-0.006406499504076163,0.5279235077466912,0.5281045572763339,0.5274343643903783,0.10342866123701906,-0.11200855243690407,0.5753968061573428,0.5762931314817553,0.3875005769269771,0.39856185452054776,1.0,0.9941117063789495,0.007346319846553814,0.32458620716337916,-0.2686887101364839,-0.38020842492770573,-0.26574408168550306,-0.35078721214620284,0.9243976922008614,-0.20736528648007418,0.45895734499796326,0.45895734499796326,0.45895734499796326,0.07643948466975733,-0.13548435699347153,0.14488938699978227,0.058007709292290634,-0.0671422718144293,-0.06480436076654453,-0.0028401111584890238,,0.010786206051006605
NATURALCHG2021,-0.11094001154019278,0.06394356360100609,0.08430892814350226,-0.0037476868722103617,-0.003355826966825166,0.5314711286407514,0.531735606027657,0.5315721292204458,0.1512389689349214,-0.0587661294939988,0.5794779651693528,0.5822759412858328,0.3936378624746055,0.403813811905617,0.9941117063789495,1.0,0.012332642476640733,0.32915720435468493,-0.22009033932785635,-0.3313212448079626,-0.21748494635156387,-0.30141114269936525,0.9379707278537904,-0.19271062557812205,0.4543891785827355,0.4543891785827355,0.4543891785827355,0.08376569496166497,-0.1309356380284215,0.14546540395515917,0.05463696571082224,-0.06371337648591038,-0.06151474510766124,-0.006653480018094745,,0.012112199762952027
INTERNATIONALMIG2020,-0.4049932337691021,-0.03936604525011581,-0.04850660213601314,-0.013662391107734633,-0.05848629778127656,0.5476740170284814,0.5482926424946821,0.5521956320597783,0.35419118910056135,0.36949362472820724,0.5351377191997412,0.5379093991172698,0.6012641865637606,0.6021971171222152,0.007346319846553814,0.012332642476640733,1.0,0.8809979408510951,0.31679562689674706,0.27182592958899016,0.3442088598173822,0.35347381905532965,-0.13749453160651853,-0.27516602135093987,0.5395023562234349,0.5395023562234349,0.5395023562234349,0.013806222636664511,-0.08616658780011689,0.07300489366580705,0.18886167181554261,-0.0479395982348366,-0.039090377998994764,-0.019375084603595952,,0.01872294081044852
INTERNATIONALMIG2021,-0.4882425385238765,-0.022434134518512373,-0.023450273732463535,-0.027092281663092212,-0.06884374123275323,0.8313222250979255,0.8316248247385694,0.8333090392616813,0.17289891000545787,0.11300661874081967,0.8219645945006094,0.8242247874595686,0.841743408629479,0.8447291452722641,0.32458620716337916,0.32915720435468493,0.8809979408510951,1.0,0.02580268225936698,-0.06095382863546716,0.05251753897360429,0.0312148307957747,0.1201059819061888,-0.43474611853842793,0.8063790058602238,0.8063790058602238,0.8063790058602238,0.02058630669194972,-0.10858370515706627,0.09375126775810617,0.18653906801683184,-0.07380797237956122,-0.06525942076874607,-0.032465061222795286,,0.024702900638266058
DOMESTICMIG2020,-0.0013795668756981395,0.07075839345257225,0.052774435564366826,0.023057367534816093,0.008520578410311582,-0.2106085275781206,-0.2089861238422055,-0.20013938192241554,0.9299320915395582,0.9508150588802265,-0.1990933001706891,-0.1874506155027786,-0.15426482146087472,-0.1556014767450832,-0.2686887101364839,-0.22009033932785635,0.31679562689674706,0.02580268225936698,1.0,0.9594320514132121,0.9995781704357297,0.9631313124672743,-0.11553881580259205,0.16110907831561036,-0.26120659806729696,-0.26120659806729696,-0.26120659806729696,-0.018651015809032206,0.019993351865464894,-0.02543492279393298,-0.033892432474696046,0.1557216640258409,0.1552003455358032,0.020664900359148964,,-0.0017986152560077392
DOMESTICMIG2021,-0.0010049997439074395,0.043482293492386095,0.02424192330517487,0.021243202467239895,0.009232089903119984,-0.28547075351222695,-0.2839961410180194,-0.27513897522598685,0.8452798051071279,0.9577700812900776,-0.2763779095451394,-0.2661131471858561,-0.21226310025860265,-0.2161542994820394,-0.38020842492770573,-0.3313212448079626,0.27182592958899016,-0.06095382863546716,0.9594320514132121,1.0,0.9580438875343334,0.9957515277639847,-0.21239394913459317,0.3134085965160272,-0.32443033247343356,-0.32443033247343356,-0.32443033247343356,-0.025149963838119654,0.03833460607118267,-0.04293255450765375,-0.05345699852107768,0.18383632922380766,0.18256614760258683,0.01989375545960971,,-0.009350158892928683
