GEO_ID,STATE,COUNTY,NAME,POPUNI,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM
0500000US04003,04,003,"Cochise County, Arizona",123596,32374,12099,26.19,9.79,60946,13211,49.31,10.69,30276,10975,24.50,8.88
0500000US04005,04,005,"Coconino County, Arizona",131295,36072,12760,27.47,9.72,63104,13958,48.06,10.63,32119,11420,24.46,8.70
0500000US04007,04,007,"Gila County, Arizona",53615,10407,4872,19.41,9.09,24563,5933,45.81,11.07,18645,5444,34.78,10.15
0500000US04009,04,009,"Graham County, Arizona",36046,8598,3196,23.85,8.87,18543,3661,51.44,10.16,8905,3126,24.70,8.67
0500000US04011,04,011,"Greenlee County, Arizona",9466,2260,1057,23.87,11.17,5190,1183,54.83,12.50,2016,1002,21.30,10.58
0500000US04012,04,012,"La Paz County, Arizona",20895,2740,1944,13.11,9.30,10443,2669,49.98,12.77,7712,2558,36.91,12.24
0500000US04013,04,013,"Maricopa County, Arizona",4440795,1484100,452925,33.42,10.20,2075025,487876,46.73,10.99,881670,391219,19.85,8.81
0500000US04015,04,015,"Mohave County, Arizona",208241,51917,20233,24.93,9.72,98429,21925,47.27,10.53,57895,18315,27.80,8.79
0500000US04017,04,017,"Navajo County, Arizona",109467,18342,8786,16.76,8.03,48274,11111,44.10,10.15,42851,10257,39.15,9.37
0500000US04019,04,019,"Pima County, Arizona",1030970,309958,106057,30.06,10.29,486351,113599,47.17,11.02,234661,91446,22.76,8.87
0500000US04021,04,021,"Pinal County, Arizona",438153,122061,45526,27.86,10.39,222710,49021,50.83,11.19,93382,39313,21.31,8.97
0500000US04023,04,023,"Santa Cruz County, Arizona",46301,10603,4441,22.90,9.59,21681,5290,46.83,11.43,14017,4718,30.27,10.19
0500000US04025,04,025,"Yavapai County, Arizona",233003,57679,22118,24.75,9.49,116358,24015,49.94,10.31,58966,20133,25.31,8.64
0500000US04027,04,027,"Yuma County, Arizona",207535,46887,22734,22.59,10.95,101634,25383,48.97,12.23,59014,21174,28.44,10.20
0500000US05001,05,001,"Arkansas County, Arkansas",17384,5737,1810,33.00,10.41,6911,2044,39.75,11.76,4736,1879,27.24,10.81
0500000US05003,05,003,"Ashley County, Arkansas",19555,5616,2054,28.72,10.51,7998,2334,40.90,11.94,5941,2160,30.38,11.05
0500000US05005,05,005,"Baxter County, Arkansas",41877,11148,3658,26.62,8.73,18055,4138,43.11,9.88,12674,3809,30.26,9.10
0500000US05007,05,007,"Benton County, Arkansas",278162,103315,25438,37.14,9.15,121037,26680,43.51,9.59,53810,21350,19.34,7.68
0500000US05009,05,009,"Boone County, Arkansas",37328,13869,3380,37.15,9.05,13448,3677,36.03,9.85,10011,3194,26.82,8.56
0500000US05011,05,011,"Bradley County, Arkansas",10710,2410,1078,22.50,10.06,4490,1240,41.92,11.58,3810,1149,35.57,10.73
0500000US05013,05,013,"Calhoun County, Arkansas",5014,1195,564,23.83,11.25,2112,633,42.12,12.62,1707,582,34.04,11.60
0500000US05015,05,015,"Carroll County, Arkansas",28274,7537,2624,26.66,9.28,13448,2974,47.56,10.52,7289,2677,25.78,9.47
0500000US05017,05,017,"Chicot County, Arkansas",9493,1807,913,19.04,9.62,3976,1092,41.88,11.51,3710,1057,39.08,11.13
0500000US05019,05,019,"Clark County, Arkansas",19674,5573,1871,28.33,9.51,7614,2105,38.70,10.70,6487,1930,32.97,9.81
0500000US05021,05,021,"Clay County, Arkansas",14480,3639,1433,25.13,9.89,7128,1562,49.23,10.79,3713,1366,25.64,9.44
0500000US05023,05,023,"Cleburne County, Arkansas",24839,6567,2343,26.44,9.43,11606,2600,46.72,10.47,6666,2343,26.84,9.43
0500000US05025,05,025,"Cleveland County, Arkansas",7956,2511,885,31.56,11.12,3710,975,46.63,12.25,1735,872,21.81,10.96
