,FIPS,Admin2,Province_State,3/31/21
484,13149,Heard,Georgia,831
485,13151,Henry,Georgia,23667
486,13153,Houston,Georgia,14020
487,13155,Irwin,Georgia,895
488,13157,Jackson,Georgia,9522
489,13159,Jasper,Georgia,1367
490,13161,Jeff Davis,Georgia,1833
491,13163,Jefferson,Georgia,1894
492,13165,Jenkins,Georgia,836
493,13167,Johnson,Georgia,1098
494,13169,Jones,Georgia,1952
495,13171,Lamar,Georgia,1953
496,13173,Lanier,Georgia,758
497,13175,Laurens,Georgia,5431
498,13177,Lee,Georgia,2663
499,13179,Liberty,Georgia,3618
500,13181,Lincoln,Georgia,779
501,13183,Long,Georgia,812
502,13185,Lowndes,Georgia,12202
503,13187,Lumpkin,Georgia,2846
504,13193,Macon,Georgia,832
505,13195,Madison,Georgia,3147
506,13197,Marion,Georgia,543
507,13189,McDuffie,Georgia,2375
508,13191,McIntosh,Georgia,814
509,13199,Meriwether,Georgia,1913
510,13201,Miller,Georgia,827
511,13205,Mitchell,Georgia,2004
512,13207,Monroe,Georgia,2544
513,13209,Montgomery,Georgia,864
514,13211,Morgan,Georgia,2045
515,13213,Murray,Georgia,4671
516,13215,Muscogee,Georgia,15443
517,13217,Newton,Georgia,10351
518,13219,Oconee,Georgia,3879
519,13221,Oglethorpe,Georgia,1440
520,80013,Out of GA,Georgia,29100
521,13223,Paulding,Georgia,15789
522,13225,Peach,Georgia,2535
523,13227,Pickens,Georgia,3256
524,13229,Pierce,Georgia,2369
525,13231,Pike,Georgia,2160
526,13233,Polk,Georgia,5447
527,13235,Pulaski,Georgia,903
528,13237,Putnam,Georgia,2108
529,13239,Quitman,Georgia,162
530,13241,Rabun,Georgia,1624
531,13243,Randolph,Georgia,618
532,13245,Richmond,Georgia,23525
533,13247,Rockdale,Georgia,7189
534,13249,Schley,Georgia,338
535,13251,Screven,Georgia,938
536,13253,Seminole,Georgia,924
537,13255,Spalding,Georgia,5922
538,13257,Stephens,Georgia,3041
539,13259,Stewart,Georgia,879
540,13261,Sumter,Georgia,2505
541,13263,Talbot,Georgia,466
542,13265,Taliaferro,Georgia,122
543,13267,Tattnall,Georgia,2264
544,13269,Taylor,Georgia,778
545,13271,Telfair,Georgia,1261
546,13273,Terrell,Georgia,786
547,13275,Thomas,Georgia,4304
548,13277,Tift,Georgia,4777
549,13279,Toombs,Georgia,3294
550,13281,Towns,Georgia,1171
551,13283,Treutlen,Georgia,837
552,13285,Troup,Georgia,7260
553,13287,Turner,Georgia,983
554,13289,Twiggs,Georgia,699
555,90013,Unassigned,Georgia,3311
556,13291,Union,Georgia,2139
557,13293,Upson,Georgia,3341
