FIPS,AREA_SQMI,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,EP_UNINSUR,num_beds,dem_pct,Agreeableness,Belief In Science,Collectivism,Conflict Awareness,Conscientiousness,Empathy,Employment Rate,Entrepreneurship,Extraversion,Gender Equality,Hopefulness,Income Per Capita,Neuroticism,Openness,Religiosity,Risk Taking,Selflessness,Tolerance,Work Ethic,first_yr_cases,E_TOTPOP,case_pct
28149,588.5167944,20.6,7.2,23793.0,12.8,15.8,24.4,16.1,11.7,52.7,0.5,6.7,16.9,2.5,7.7,1.3,0.808,0.7583,0.6783,0.539,2.7836,0.7481,0.2748,0.774,0.561,0.9019,2.5117,0.8516,0.8902,0.3582,1.2484,0.6558,0.7851,0.702,0.6622,0.7584,0.2582,3.1659,0.8354,9.7096,0.8605,12.8,361.0,49.59863202393958,87.91362397,60.64076769,62.98322033,48.54474151,84.85626132,81.37483847,93.6,9.787626962,88.76028148,72.4396453,83.2436234,22110.0,76.63939484,79.0722793,78.32388459,67.55108774,77.31251362,68.14557921,70.79858351,4248,47075,9.02389803505045
28155,420.9325572,25.5,5.1,21109.0,15.4,17.5,23.9,21.9,10.9,21.9,0.1,0.8,19.0,0.9,5.3,0.9,0.9261,0.4303,0.8522,0.6753,2.8839,0.7752,0.4422,0.7122,0.8981,0.8548,2.9073,0.9704,0.5899,0.0707,0.6606,0.3126,0.1369,0.7558,0.1223,0.4225,0.1165,1.554,0.1108,8.0058,0.5962,11.7,38.0,19.33271547729379,89.98014785,61.76590492,69.11104581,64.67493507,85.55157695,80.24427391,93.7,11.93181818,85.62285451,67.67831772,84.72893092,20722.0,74.69422776,78.82055388,75.35645104,75.98906235,79.45133984,70.35910607,71.59037664,1133,9828,11.528286528286529
29009,778.2536917,21.0,4.7,21960.0,17.8,19.9,22.7,18.1,7.8,13.9,3.1,0.9,17.0,4.7,4.7,0.9,0.8217,0.3634,0.8032,0.7692,2.7575,0.7395,0.6788,0.545,0.7125,0.433,2.3693,0.7778,0.446,0.8494,1.2954,0.6886,0.1512,0.7046,0.9124,0.32,0.1165,2.2047,0.3384,8.6269,0.7099,15.5,43.0,18.899858956276447,85.70856409,52.5,66.89236111,62.15584415,83.80834162,72.5,95.5,9.64673913,87.0742675,65.61247276,78.21540886,19431.0,79.96581581,77.66951814,63.56927864,68.95696823,59.375,58.28125,72.07142858,2889,35493,8.139633167103373
29019,685.5477459,18.3,4.3,29365.0,5.8,11.4,20.3,11.2,7.2,21.0,1.2,11.3,4.4,1.8,6.0,5.2,0.7178,0.2924,0.2873,0.0611,1.3586,0.3102,0.0449,0.2471,0.1302,0.3247,0.7469,0.0216,0.5775,0.631,1.2085,0.6313,0.9029,0.1977,0.4457,0.5441,0.8173,2.9077,0.7144,6.2217,0.2927,7.0,1090.0,54.91400491400491,85.96821001,66.78921237,65.75487223,62.57873959,83.774001,80.14437742,96.8,9.87186954,88.33613095,68.9219696,86.18640924,27689.0,77.31687757,80.7833266,67.10409147,79.11696057,73.04174457,69.14784342,70.59075974,17564,176515,9.950429141999264
29027,834.5653132,11.6,3.3,25069.0,14.1,15.5,21.2,15.0,9.2,9.9,0.3,1.7,16.5,1.0,5.2,9.0,0.2854,0.1611,0.5857,0.6078,1.64,0.3981,0.2502,0.3419,0.4543,0.6702,1.7166,0.276,0.3426,0.227,0.5696,0.2697,0.32,0.6921,0.155,0.4082,0.916,2.4913,0.483,6.4175,0.3232,9.5,37.0,27.762012864169506,85.49354325,72.60803035,65.01125004,64.38544729,82.93936647,81.93663019,95.9,9.268292683,88.61383009,67.97455219,87.57079545,23475.0,77.55210622,79.61956581,68.896461,79.98471611,78.73310576,69.64420536,66.30327356,4899,44840,10.925512934879572
29053,564.752885,11.9,4.7,22895.0,11.0,17.0,21.9,16.5,8.9,12.0,0.1,2.4,7.2,1.5,5.5,9.0,0.3061,0.3634,0.742,0.4231,1.8346,0.4576,0.3897,0.4323,0.5899,0.6234,2.0353,0.5123,0.4015,0.0707,0.4722,0.2187,0.4317,0.3432,0.3359,0.4677,0.916,2.4945,0.4852,6.8366,0.3892,9.3,70.0,25.87139077418613,83.66873005,69.20185422,64.71984947,62.34131441,83.16734164,80.42297042,95.1,10.42780749,87.02218738,70.76321932,87.97651831,22822.0,79.71022232,78.33676336,73.56308371,75.49749538,74.48936748,68.47602257,69.21408654,1905,17622,10.810350697991147
29065,752.7603585,21.0,6.4,22581.0,19.1,21.2,22.8,22.5,7.5,5.5,0.0,0.4,20.5,2.0,6.9,1.4,0.8217,0.6545,0.7621,0.8166,3.0549,0.8188,0.7755,0.5578,0.9156,0.3792,2.6281,0.8997,0.1544,0.0,0.1544,0.0471,0.0691,0.7937,0.518,0.6702,0.3018,2.3528,0.4123,8.1902,0.6312,16.3,55.0,14.78577429291515,84.58202333,71.50680302,70.3762286,59.56713672,82.61940276,77.04789342,94.6,6.269592476,85.32964174,67.4533273,63.50510106,19929.0,80.02524882,80.7648474,68.36596484,76.45114856,80.62536925,72.74737829,68.39726641,913,15504,5.888802889576883
29077,675.3237167,17.9,4.4,26378.0,8.4,15.8,21.0,14.8,7.7,12.2,0.6,14.1,3.2,2.3,6.9,4.0,0.6997,0.3121,0.4914,0.2232,1.7264,0.4252,0.2748,0.3216,0.4352,0.4126,1.4442,0.1445,0.4062,0.4187,0.8249,0.4062,0.9389,0.1324,0.6049,0.6702,0.7561,3.1025,0.8087,7.098,0.4395,10.4,1042.0,38.83497884344147,86.40718982,63.8888889,67.81818182,63.62337662,84.9674038,84.09090909,96.2,10.60213195,88.8045756,66.24750286,86.85390724,24537.0,74.91657827,80.70941274,67.44378213,73.57432844,68.18181818,71.70454545,78.95238095,27693,288429,9.601323029237697
29093,550.2641889,20.9,7.2,20696.0,19.2,21.3,20.9,24.9,8.3,5.6,0.0,0.7,15.0,2.9,8.3,3.6,0.8178,0.7583,0.8758,0.8211,3.273,0.8777,0.7829,0.3091,0.9672,0.5234,2.5826,0.8806,0.1585,0.0,0.1585,0.0519,0.1188,0.6504,0.7434,0.8147,0.7262,3.0535,0.7861,9.0676,0.7822,12.9,15.0,20.579268292682926,84.59374491,66.61335108,70.96028306,63.54544841,83.81653844,74.74694709,92.9,10.96491228,85.79638324,66.82534094,66.296641,19270.0,76.35397675,78.39403156,69.66846527,54.84085746,73.20765929,73.16024041,68.41417143,902,10221,8.82496820271989
29095,604.5159747,15.2,5.1,30237.0,9.7,14.3,23.8,13.3,10.8,37.7,1.9,13.3,0.9,1.6,9.0,1.7,0.5287,0.4303,0.2433,0.3209,1.5232,0.358,0.1687,0.695,0.2846,0.8462,1.9945,0.4788,0.7778,0.7491,1.5269,0.8201,0.9274,0.0318,0.3703,0.8571,0.4126,2.5992,0.5479,7.6438,0.5354,11.6,3816.0,46.93154395218361,85.80016742,45.83333333,57.08333333,59.16666667,83.94818704,66.66666667,94.9,9.864319765,87.35497081,70.43819207,83.61290091,27665.0,77.22959156,80.17857872,68.5,72.81264699,50.0,70.0,65.86666667,37221,692003,5.378733907222945
29101,829.2585574,15.4,5.1,24146.0,8.0,12.0,21.6,12.0,7.6,14.0,0.3,3.6,9.2,2.6,5.6,8.6,0.5401,0.4303,0.6481,0.1971,1.8156,0.4522,0.064,0.3862,0.184,0.3961,1.0303,0.0458,0.4479,0.227,0.6749,0.3206,0.5788,0.432,0.6864,0.4846,0.9109,3.0927,0.8036,6.6135,0.3506,8.8,75.0,30.160446308869957,86.54439369,67.48924329,67.11654299,65.32292561,85.22008935,79.96098265,95.1,10.34482759,88.90592181,69.08267421,84.65181514,22589.0,78.00448538,77.20870275,73.55186012,74.56718359,78.77006759,68.3725697,69.71082802,4922,53689,9.167613477621114
29117,532.2974725,16.4,2.3,23083.0,14.0,20.0,21.6,14.2,8.5,7.3,0.1,1.7,8.6,1.6,5.2,9.3,0.6111,0.0646,0.7258,0.6004,2.0019,0.5127,0.6851,0.3862,0.3763,0.5597,2.0073,0.4916,0.2474,0.0707,0.3181,0.1277,0.32,0.4059,0.3703,0.4082,0.9214,2.4258,0.4495,6.7531,0.3748,11.8,25.0,20.864160994377034,79.50656971,65.13436161,63.18141248,47.88887723,78.71700562,80.03471978,96.1,8.80952381,85.50999871,69.57036658,84.18009977,22804.0,83.40576895,81.04763794,72.65137687,57.82271501,74.3729997,66.31267616,71.86921104,1723,15076,11.428760944547625
29123,494.3874299,15.6,4.1,22119.0,17.8,18.6,22.7,23.4,3.8,5.3,0.1,2.2,10.3,3.1,6.7,1.5,0.5538,0.2611,0.792,0.7692,2.3761,0.6312,0.5521,0.545,0.9379,0.0328,2.0678,0.5492,0.1429,0.0707,0.2136,0.0793,0.4037,0.4741,0.7803,0.6425,0.3457,2.6463,0.574,7.3038,0.4777,9.3,144.0,17.95278365045807,85.60914067,65.03555987,70.6302132,58.17894341,82.35476846,83.23780978,94.5,14.64435146,86.3306773,67.97674725,64.47004418,19009.0,80.80524167,77.01168672,68.84184792,87.72247461,82.24034449,72.15124012,70.77351557,1614,12205,13.224088488324456
29147,876.9637502,23.3,3.9,22151.0,7.5,14.5,16.4,12.3,7.0,7.3,0.2,5.3,6.5,1.6,4.0,14.2,0.8818,0.2334,0.7901,0.1614,2.0667,0.5315,0.1786,0.035,0.2041,0.2961,0.7138,0.0188,0.2474,0.1477,0.3951,0.1706,0.7195,0.3101,0.3703,0.2114,0.9672,2.5785,0.5384,5.7541,0.222,8.2,81.0,28.83857272819165,85.92515794,67.02008378,68.03541337,63.88456326,82.24775491,80.46286255,95.4,9.565217391,86.69244399,70.25773985,82.69059233,19378.0,77.13085696,77.89918316,69.14826689,76.97031494,75.73900579,71.08997241,69.37464889,2653,22547,11.766532132877987
29163,670.4385302,14.0,4.5,22302.0,16.0,16.8,21.9,13.7,9.4,11.8,0.5,3.3,11.1,1.4,5.9,12.5,0.443,0.3299,0.7828,0.7039,2.2596,0.5895,0.3664,0.4323,0.32,0.6972,1.8159,0.3419,0.3964,0.3582,0.7546,0.3645,0.545,0.5046,0.2964,0.5294,0.957,2.8324,0.6794,7.6625,0.5376,10.8,25.0,22.31319038336582,85.69084265,66.67706918,69.83760293,68.30484116,81.25815684,83.54573872,95.5,8.064516129,86.71426572,67.49565584,78.00060905,19900.0,79.57641528,79.35349621,69.24480347,72.64602596,77.77891105,69.43008042,71.10797298,1791,18489,9.686840824273894
29165,419.7857674,6.9,3.7,39427.0,4.6,13.9,23.8,11.7,9.0,18.5,0.9,12.8,0.4,1.4,4.4,0.8,0.0462,0.2054,0.0459,0.0242,0.3217,0.0213,0.1442,0.695,0.164,0.6399,1.6431,0.2375,0.5422,0.5492,1.0914,0.5638,0.9245,0.0137,0.2964,0.2697,0.0936,1.5979,0.1254,4.6541,0.0959,6.2,97.0,47.457656713811765,84.9532917,73.19145745,65.41331088,59.29172935,82.3178498,79.68693095,96.4,13.86682957,87.48537516,68.65988287,87.46607042,36160.0,77.65682545,79.77154867,65.98275938,72.59506654,78.56495711,70.91550482,70.43466307,4056,98824,4.104266170161094
