UID,code3,FIPS,Admin2,Province_State,3/31/21
84080005,840,80005,Out of AR,Arkansas,0
84005105,840,5105,Perry,Arkansas,824
84005107,840,5107,Phillips,Arkansas,1737
84005109,840,5109,Pike,Arkansas,997
84005111,840,5111,Poinsett,Arkansas,3114
84005113,840,5113,Polk,Arkansas,1961
84005115,840,5115,Pope,Arkansas,7860
84005117,840,5117,Prairie,Arkansas,887
84005119,840,5119,Pulaski,Arkansas,38317
84005121,840,5121,Randolph,Arkansas,2061
84005125,840,5125,Saline,Arkansas,11724
84005127,840,5127,Scott,Arkansas,927
84005129,840,5129,Searcy,Arkansas,671
84005131,840,5131,Sebastian,Arkansas,15036
84005133,840,5133,Sevier,Arkansas,2778
84005135,840,5135,Sharp,Arkansas,1550
84005123,840,5123,St. Francis,Arkansas,3513
84005137,840,5137,Stone,Arkansas,982
84090005,840,90005,Unassigned,Arkansas,2791
84005139,840,5139,Union,Arkansas,3938
84005141,840,5141,Van Buren,Arkansas,1245
84005143,840,5143,Washington,Arkansas,30202
84005145,840,5145,White,Arkansas,7799
84005147,840,5147,Woodruff,Arkansas,633
84005149,840,5149,Yell,Arkansas,3406
84006001,840,6001,Alameda,California,85366
84006003,840,6003,Alpine,California,88
84006005,840,6005,Amador,California,3590
84006007,840,6007,Butte,California,13078
84006009,840,6009,Calaveras,California,2017
84006011,840,6011,Colusa,California,2173
84006013,840,6013,Contra Costa,California,66306
84006015,840,6015,Del Norte,California,1135
84006017,840,6017,El Dorado,California,10050
84006019,840,6019,Fresno,California,107822
84006021,840,6021,Glenn,California,2864
84006023,840,6023,Humboldt,California,3484
84006025,840,6025,Imperial,California,30270
84006027,840,6027,Inyo,California,1376
84006029,840,6029,Kern,California,106239
84006031,840,6031,Kings,California,23670
84006033,840,6033,Lake,California,3340
84006035,840,6035,Lassen,California,5652
84006037,840,6037,Los Angeles,California,1219614
84006039,840,6039,Madera,California,16928
84006041,840,6041,Marin,California,13847
84006043,840,6043,Mariposa,California,410
84006045,840,6045,Mendocino,California,3745
84006047,840,6047,Merced,California,30736
84006049,840,6049,Modoc,California,466
84006051,840,6051,Mono,California,1257
84006053,840,6053,Monterey,California,44149
84006055,840,6055,Napa,California,9434
84006057,840,6057,Nevada,California,4468
84006059,840,6059,Orange,California,266233
84080006,840,80006,Out of CA,California,0
84006061,840,6061,Placer,California,22190
84006063,840,6063,Plumas,California,674
84006065,840,6065,Riverside,California,297412
84006067,840,6067,Sacramento,California,99239
84006069,840,6069,San Benito,California,5972
84006071,840,6071,San Bernardino,California,294735
84006073,840,6073,San Diego,California,270287
84006075,840,6075,San Francisco,California,36642
84006077,840,6077,San Joaquin,California,72047
84006079,840,6079,San Luis Obispo,California,20872
84006081,840,6081,San Mateo,California,40862
