FIPS,POPUNI,PRED0_PE,PRED12_PE,PRED3_PE,3/31/21,BEDS,dem_pct
29173,10309,44.74,34.23,21.03,12,0.0,21.282232426704343
29175,22876,34.8,38.1,27.11,30,100.0,23.129188384214444
29177,22937,38.25,42.19,19.56,27,34.0,26.68898617907117
29179,6216,25.37,35.62,39.01,3,0.0,16.04002425712553
29181,13288,27.14,46.24,26.62,15,21.0,14.57057897498688
29183,398264,48.74,37.96,13.3,438,715.0,40.32574082164879
29185,9299,23.4,48.55,28.05,8,12.0,19.863289103337355
29186,17825,37.31,43.68,19.01,16,47.0,28.60607338675664
29187,61460,39.98,36.3,23.73,110,228.0,25.15624441984215
29189,985410,41.08,38.97,19.96,2099,4892.0,61.17130149166925
29195,21821,37.11,40.32,22.57,38,75.0,30.50740624015128
29197,4660,39.01,29.4,31.59,5,0.0,18.622066899650523
29199,4900,32.18,50.43,17.39,3,25.0,19.556451612903224
29201,38180,33.23,37.42,29.35,83,144.0,21.180653535752583
29203,8160,26.43,43.74,29.83,12,0.0,18.074756784434204
29205,5890,34.52,38.08,27.4,7,0.0,17.671641791044777
29207,28960,34.03,38.27,27.71,37,48.0,13.548339043646656
29209,31924,27.37,45.06,27.57,40,0.0,18.96878212411405
29211,6089,35.39,40.98,23.63,14,25.0,19.34439498178875
29213,54706,31.58,45.95,22.47,90,157.0,20.309646987218503
29215,23737,27.29,44.08,28.63,22,66.0,15.16570923552806
29217,20087,34.86,37.51,27.63,42,71.0,20.718562874251496
29219,35496,34.19,45.48,20.33,20,0.0,25.95374149659864
29221,23803,29.43,40.76,29.81,49,25.0,18.08340016038493
29223,12844,26.78,43.34,29.87,11,0.0,14.375637972099351
29225,38891,34.68,39.58,25.74,53,0.0,19.026572234943288
29227,2013,27.52,45.06,27.42,2,0.0,19.42186088527552
29229,18253,30.69,43.3,26.01,29,0.0,13.36537361254148
29510,294393,32.81,37.69,29.5,450,3651.0,82.23759402989535
30001,9074,32.69,44.26,23.05,8,25.0,28.404875463698996
30003,13278,13.06,51.66,35.28,72,61.0,52.06939799331104
30005,6671,19.13,46.87,34.0,24,0.0,50.978504972730185
30007,6212,36.24,45.88,17.88,5,44.0,20.3807664144496
30009,10725,33.63,42.22,24.15,13,10.0,34.330686330119114
30011,1252,30.51,50.4,19.09,5,31.0,8.564814814814815
30013,80618,38.44,39.55,22.0,150,436.0,38.7514103046258
