FIPS,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,EP_UNINSUR,E_TOTPOP,AREA_SQMI
13047,9.8,3.9,26915.0,12.6,16.8,23.2,14.7,6.1,8.8,0.5,2.0,11.5,1.1,3.6,0.9,0.1742,0.2334,0.4513,0.5269,1.3858,0.3194,0.3664,0.6176,0.425,0.1812,1.5902,0.2098,0.3044,0.3582,0.6626,0.3136,0.3725,0.5228,0.1888,0.1573,0.1165,1.3579,0.0678,4.9965,0.1318,12.0,66299,162.1623941
13057,8.1,4.3,35199.0,8.6,12.9,25.3,9.9,6.9,20.6,2.6,7.3,3.7,1.7,2.8,0.6,0.0838,0.2924,0.0863,0.2362,0.6987,0.1102,0.099,0.8469,0.0592,0.2792,1.2843,0.0904,0.5727,0.8192,1.3919,0.7494,0.8026,0.1601,0.4056,0.0783,0.0541,1.5007,0.0955,4.8756,0.1185,10.9,241910,421.0827875
13073,8.8,5.2,32509.0,7.4,12.7,25.7,11.5,8.1,30.5,1.5,4.2,6.3,0.9,2.4,0.3,0.121,0.449,0.1554,0.1522,0.8776,0.1608,0.0914,0.8714,0.1512,0.49,1.604,0.2171,0.6985,0.6905,1.389,0.7475,0.6399,0.2983,0.1223,0.0503,0.0255,1.1363,0.0357,5.0069,0.1334,8.0,147295,290.0758117
13077,11.1,4.7,32542.0,11.2,13.2,25.1,10.7,8.9,28.6,1.8,6.5,3.5,1.6,4.3,0.4,0.2551,0.3634,0.1535,0.433,1.205,0.2656,0.1121,0.8329,0.0996,0.6234,1.668,0.2502,0.6788,0.7326,1.4114,0.758,0.7771,0.1496,0.3703,0.2563,0.0341,1.5874,0.1219,5.8718,0.2427,10.4,140516,440.9317724
13085,8.7,4.0,32646.0,14.0,19.5,21.0,14.8,4.3,7.4,0.7,2.0,10.1,2.0,2.1,0.7,0.1166,0.2455,0.1481,0.6004,1.1106,0.2382,0.6428,0.3216,0.4352,0.0478,1.4474,0.1465,0.2518,0.4642,0.716,0.3419,0.3725,0.467,0.518,0.036,0.0729,1.4664,0.0907,4.7404,0.1038,11.2,23861,210.828004
13113,5.6,5.0,42126.0,5.2,17.1,23.4,9.6,6.6,36.9,1.3,4.2,2.4,0.9,2.6,0.5,0.0226,0.4166,0.029,0.0417,0.5099,0.0602,0.3989,0.6406,0.0506,0.2385,1.3286,0.1032,0.7698,0.6558,1.4256,0.765,0.6399,0.0926,0.1223,0.063,0.0436,0.9614,0.0181,4.2255,0.0608,7.3,111369,194.3715005
13115,19.1,6.3,25058.0,19.0,16.1,23.4,15.3,9.9,28.8,2.6,6.0,8.9,2.7,8.5,4.3,0.7494,0.6376,0.5866,0.8112,2.7848,0.7484,0.2983,0.6406,0.4804,0.7584,2.1777,0.6361,0.6816,0.8192,1.5008,0.8064,0.7542,0.4206,0.7065,0.8284,0.774,3.4837,0.9389,9.947,0.8854,13.8,96824,509.8223959
13123,16.3,5.5,25812.0,18.1,23.4,19.7,20.1,5.4,13.9,3.7,1.5,19.4,1.9,5.3,0.8,0.6032,0.5006,0.5341,0.7791,2.417,0.6427,0.8758,0.1936,0.8284,0.1162,2.014,0.4963,0.446,0.8774,1.3234,0.7049,0.2798,0.767,0.4817,0.4225,0.0936,2.0446,0.2728,7.799,0.5599,21.4,29922,426.2129348
13127,18.3,5.4,31493.0,12.1,18.8,22.5,15.7,10.5,36.3,1.6,8.5,10.1,2.0,6.5,1.7,0.7178,0.4876,0.1933,0.4989,1.8976,0.4777,0.5718,0.5151,0.5221,0.8185,2.4275,0.8112,0.7606,0.7052,1.4658,0.7908,0.8462,0.467,0.518,0.6199,0.4126,2.8637,0.694,8.6546,0.7159,14.1,83974,419.5507097
13143,15.5,4.8,24444.0,19.3,15.6,24.3,18.3,11.1,8.9,0.4,1.7,19.9,1.8,4.7,1.2,0.5471,0.3838,0.6277,0.8255,2.3841,0.6325,0.2572,0.766,0.7281,0.8682,2.6195,0.8962,0.3095,0.297,0.6065,0.2856,0.32,0.7787,0.4457,0.32,0.2184,2.0828,0.2859,7.6929,0.5427,12.3,28956,282.1651119
13145,6.8,7.1,34511.0,9.2,17.4,21.9,18.2,7.0,23.0,0.1,0.8,8.0,1.3,2.9,1.7,0.0443,0.7481,0.099,0.2853,1.1767,0.2573,0.432,0.4323,0.7205,0.2961,1.8809,0.3948,0.6068,0.0707,0.6775,0.3225,0.1369,0.3824,0.2604,0.0853,0.4126,1.2776,0.0519,5.0127,0.1341,7.8,33590,463.8472111
13147,17.4,4.9,22361.0,19.6,21.3,21.0,20.2,8.5,25.1,0.9,0.9,24.7,1.0,5.3,3.4,0.6745,0.3981,0.7787,0.8351,2.6864,0.7194,0.7829,0.3216,0.8325,0.5597,2.4967,0.8434,0.6355,0.5492,1.1847,0.6164,0.1512,0.8736,0.155,0.4225,0.7103,2.3126,0.3897,8.6804,0.7194,11.4,25631,232.4210854
13153,15.7,7.0,28196.0,9.1,12.2,25.7,13.2,11.6,43.1,1.2,4.9,7.9,3.1,4.6,1.1,0.5602,0.7347,0.3615,0.2744,1.9308,0.4869,0.071,0.8714,0.2725,0.8975,2.1124,0.5852,0.8297,0.631,1.4607,0.788,0.6937,0.376,0.7803,0.3012,0.185,2.3362,0.4031,7.8401,0.5669,11.8,151682,376.0568179
13157,11.0,4.8,27115.0,16.3,14.4,25.5,13.6,7.9,18.0,1.9,1.5,15.2,1.5,4.6,1.1,0.2497,0.3838,0.436,0.7147,1.7842,0.4436,0.1745,0.8586,0.3091,0.4518,1.794,0.327,0.533,0.7491,1.2821,0.6784,0.2798,0.6558,0.3359,0.3012,0.185,1.7577,0.1735,6.618,0.3516,12.0,65755,339.666148
13169,15.0,7.4,25725.0,12.6,16.6,23.7,14.8,9.1,28.4,0.0,0.4,21.4,1.3,4.8,1.0,0.5127,0.779,0.5411,0.5269,2.3597,0.6248,0.3451,0.6826,0.4352,0.653,2.1159,0.5887,0.6749,0.0,0.6749,0.3206,0.0691,0.8134,0.2604,0.3381,0.1525,1.6335,0.134,6.784,0.3793,11.6,28548,393.9384961
13187,17.2,4.5,24790.0,16.3,16.7,18.0,15.8,7.7,9.4,1.2,2.5,20.3,1.3,3.3,4.6,0.6643,0.3299,0.6019,0.7147,2.3108,0.6067,0.3566,0.0847,0.5365,0.4126,1.3904,0.1232,0.3266,0.631,0.9576,0.489,0.4448,0.7886,0.2604,0.121,0.7905,2.4053,0.4358,7.0641,0.4338,11.7,31951,282.9419059
13207,13.9,7.9,34669.0,15.0,17.5,20.9,14.3,5.5,28.2,0.6,2.9,18.7,1.9,4.9,3.8,0.4344,0.8232,0.0965,0.6574,2.0115,0.5162,0.4422,0.3091,0.389,0.1251,1.2654,0.0831,0.6721,0.4187,1.0908,0.5632,0.4947,0.7485,0.4817,0.3572,0.7431,2.8252,0.6762,7.1929,0.4596,11.8,27010,396.0914043
13211,10.5,5.7,30587.0,13.5,18.9,22.5,15.2,6.2,28.4,1.1,0.9,13.5,0.8,4.7,0.9,0.2175,0.5344,0.2293,0.5772,1.5584,0.3688,0.5817,0.5151,0.4715,0.1936,1.7619,0.3063,0.6749,0.6087,1.2836,0.6797,0.1512,0.6014,0.0981,0.32,0.1165,1.2872,0.0538,5.8911,0.2446,11.8,18235,347.4040911
13227,9.6,6.1,30567.0,15.1,20.8,20.6,16.1,5.0,12.7,0.3,2.4,15.4,2.2,4.6,1.1,0.1634,0.6032,0.2303,0.6616,1.6585,0.4038,0.7456,0.2748,0.561,0.0853,1.6667,0.2493,0.4174,0.227,0.6444,0.304,0.4317,0.6609,0.5801,0.3012,0.185,2.1589,0.319,6.1285,0.2796,11.2,30832,232.058082
13231,13.1,6.4,26737.0,13.0,15.3,23.9,12.7,3.9,13.2,0.1,0.6,13.0,1.3,3.4,1.4,0.3838,0.6545,0.4637,0.5495,2.0515,0.5283,0.2359,0.7122,0.2356,0.035,1.2187,0.0729,0.4295,0.0707,0.5002,0.2324,0.1035,0.5855,0.2604,0.1328,0.3018,1.384,0.0726,5.1544,0.151,13.1,18082,216.0856704
13233,17.9,5.9,23233.0,20.9,15.1,25.9,15.5,10.5,28.0,3.4,2.1,9.5,3.2,7.7,0.5,0.6997,0.5669,0.7175,0.8752,2.8593,0.7682,0.2209,0.8819,0.5005,0.8185,2.4218,0.809,0.6699,0.8647,1.5346,0.8249,0.39,0.4425,0.7953,0.7584,0.0436,2.4298,0.4511,9.2455,0.8048,15.3,41621,310.3302493
13295,17.7,6.4,23311.0,18.1,18.1,22.1,18.3,8.7,8.9,0.4,3.0,12.6,2.4,4.5,2.1,0.6914,0.6545,0.7127,0.7791,2.8377,0.7608,0.5021,0.4642,0.7281,0.5938,2.2882,0.7233,0.3095,0.297,0.6065,0.2856,0.5081,0.568,0.6313,0.2846,0.5244,2.5164,0.4989,8.2488,0.6408,13.2,68824,446.3899976
13297,12.9,6.0,26545.0,12.7,15.0,25.2,12.2,10.3,24.7,0.7,0.8,7.9,1.6,3.2,0.9,0.3736,0.5854,0.478,0.5339,1.9709,0.5003,0.2114,0.8411,0.198,0.7994,2.0499,0.5304,0.6304,0.4642,1.0946,0.5651,0.1369,0.376,0.3703,0.1108,0.1165,1.1105,0.0328,6.2259,0.293,11.2,90132,326.7894077
13299,23.7,3.5,20457.0,17.1,16.6,24.0,17.4,11.3,36.5,0.2,2.7,19.6,1.7,8.4,7.0,0.8911,0.1822,0.8863,0.7459,2.7055,0.7242,0.3451,0.7262,0.6625,0.8809,2.6147,0.894,0.7644,0.1477,0.9121,0.4565,0.4677,0.7733,0.4056,0.8201,0.8749,3.3416,0.9029,9.5739,0.8449,15.4,35599,899.1722879
13311,13.8,4.2,25617.0,14.9,21.5,20.2,16.4,5.2,7.6,0.8,1.2,16.3,1.1,2.4,1.4,0.428,0.2745,0.5478,0.6517,1.902,0.4793,0.7947,0.2353,0.581,0.1022,1.7132,0.2735,0.2604,0.5113,0.7717,0.3782,0.2216,0.6858,0.1888,0.0503,0.3018,1.4483,0.0876,5.8352,0.2357,12.5,28928,240.7432438
16001,11.0,3.8,33352.0,4.9,13.5,24.5,10.2,7.2,15.1,1.3,8.2,4.0,1.4,3.8,1.9,0.2497,0.2188,0.1312,0.0334,0.6331,0.0939,0.128,0.7854,0.0755,0.3247,1.3136,0.0981,0.4718,0.6558,1.1276,0.5874,0.837,0.1751,0.2964,0.1859,0.4728,1.9672,0.2429,5.0415,0.1373,8.3,446052,1052.007575
16017,14.7,3.7,27590.0,9.2,23.0,20.0,16.6,6.2,6.7,0.2,5.3,12.7,2.0,4.4,1.0,0.4936,0.2054,0.4013,0.2853,1.3856,0.3188,0.8621,0.2162,0.5969,0.1936,1.8688,0.3843,0.2235,0.1477,0.3712,0.1576,0.7195,0.5737,0.518,0.2697,0.1525,2.2334,0.3512,5.859,0.2401,11.6,42711,1733.210905
16021,16.8,3.9,25401.0,8.0,21.1,23.7,14.3,4.3,9.5,0.7,3.4,10.9,2.9,2.6,1.0,0.6395,0.2334,0.5627,0.1971,1.6327,0.3978,0.7666,0.6826,0.389,0.0478,1.886,0.397,0.3308,0.4642,0.795,0.3903,0.5571,0.4963,0.7434,0.063,0.1525,2.0123,0.2604,6.326,0.3083,19.2,11549,1268.681749
