FIPS,POPUNI,PRED0_PE,PRED12_PE,PRED3_PE
6099,548405,28.09,50.81,21.1
6101,96791,28.21,46.99,24.8
6103,64677,26.48,48.27,25.25
6105,12132,21.48,48.33,30.18
6107,464344,23.18,50.23,26.59
6109,51520,22.06,52.7,25.24
6111,840957,30.96,50.02,19.01
6113,211368,32.96,47.33,19.71
6115,78284,30.59,47.87,21.54
8001,515407,36.28,46.75,16.97
8003,15487,29.28,43.67,27.05
8005,654450,41.46,42.53,16.01
8007,14003,21.15,51.03,27.82
8009,3572,31.13,39.87,29.0
8011,3994,20.76,39.96,39.28
8013,317737,42.08,43.92,14.0
8014,70393,50.76,38.2,11.05
8015,19034,24.21,51.67,24.13
8017,1815,30.03,43.58,26.39
8019,9616,46.95,38.77,14.28
8021,8181,14.31,54.11,31.57
8023,3887,20.56,45.77,33.68
8025,3169,26.6,39.19,34.21
8027,4918,21.57,59.92,18.5
8029,30645,26.48,45.07,28.45
8031,717814,40.1,41.52,18.38
8033,2055,36.69,44.23,19.08
8035,350839,54.59,36.57,8.84
8037,55073,35.08,49.05,15.87
8039,26694,44.44,41.34,14.22
8041,714172,40.58,45.28,14.13
8043,40083,32.67,43.32,24.01
8045,59588,30.9,50.19,18.91
8047,6212,38.75,39.84,21.41
8049,15701,37.76,47.45,14.79
8051,16565,33.96,52.93,13.11
8053,820,24.63,46.1,29.27
8055,6882,19.14,49.33,31.53
8057,1391,20.49,54.92,24.59
8059,577345,44.56,40.16,15.27
8061,1406,37.06,40.26,22.69
8063,7097,32.38,45.17,22.45
8065,8026,32.66,49.4,17.94
8067,54556,34.03,47.22,18.76
8069,349827,43.47,41.84,14.69
8071,13779,25.8,44.96,29.24
8073,4745,23.69,53.72,22.59
8075,18709,36.45,44.64,18.92
8077,151308,33.9,46.76,19.34
8079,769,28.09,52.93,18.99
8081,13248,30.99,46.3,22.71
8083,26159,25.96,46.64,27.41
8085,42625,27.11,47.14,25.75
8087,28757,29.36,46.56,24.08
8089,17978,27.77,45.6,26.63
8091,4952,29.06,54.58,16.36
8093,18759,32.29,48.5,19.21
8095,4265,24.76,48.93,26.31
8097,17746,36.52,44.74,18.74
8099,11970,26.95,50.93,22.12
8101,165957,30.17,46.16,23.67
8103,6107,35.22,41.84,22.94
8105,11236,29.38,43.92,26.7
8107,25441,35.87,49.36,14.78
8109,6806,25.86,41.27,32.87
8111,728,37.77,43.27,18.96
8113,8170,35.29,49.14,15.57
8115,2248,25.27,44.26,30.47
8117,30960,37.58,44.62,17.8
8119,25309,36.7,45.44,17.86
8121,4748,41.41,41.83,16.76
8123,319543,39.9,43.45,16.65
8125,9928,33.3,39.25,27.45
9001,932097,39.86,40.51,19.63
9003,878007,39.86,40.33,19.81
9005,180097,43.56,40.52,15.92
9007,159850,43.9,39.61,16.5
9009,836346,36.81,40.87,22.32
9011,260663,41.96,40.41,17.63
