FIPS,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP
36119,430.5678079,968815,373942,347332,87214,29722,54572,81329,158902,217100,89947,26493,445341,57741,105302,525,14214,50391,26182,64712,885863
37015,699.1761225,19644,9841,7976,4207,990,20430,3095,4125,3508,3902,675,12909,72,34,3607,197,702,1388,1912,17509
37017,874.8637816,33778,17877,13968,8649,978,20803,4798,6752,7125,6850,1556,15312,524,159,6624,334,1455,479,4697,31817
37063,286.4520568,306457,133429,123444,46805,8615,34063,24310,37056,65637,30212,13066,177023,16891,25717,1836,3433,9936,14266,36780,322678
37095,612.3328186,5393,3249,1769,1062,231,18433,709,887,1165,673,189,2215,122,18,546,75,20,655,753,5216
37103,471.3675927,9695,4958,4137,2526,381,21539,1337,2053,1843,2405,300,3654,103,52,1628,107,299,123,1495,7785
37153,473.7033901,45189,21380,18546,10503,1841,20745,6035,7692,10458,8034,2424,19288,912,256,5574,478,1719,1439,5529,43661
37185,429.1187586,20033,11948,7780,3663,724,22461,2813,4736,3691,3845,613,12357,148,142,3798,83,784,978,2506,16336
37189,312.4184553,54117,33520,20355,13155,2009,24906,3243,8200,7066,5954,917,4392,302,3889,2936,334,1159,5856,4741,56809
38053,2760.4811391,12536,5976,3899,1681,248,36798,625,1132,3818,1120,340,2782,206,1248,832,302,80,219,2086,14221
38061,1825.2855123,10152,4999,3235,1016,204,37602,581,1129,2681,1057,279,3871,88,254,1348,157,151,114,1607,8889
39095,340.7103207,432379,203073,179065,80686,16242,28361,31510,66474,100005,65360,22557,134436,3529,25474,4563,2139,18358,9615,26586,425376
40055,639.3242901,5943,2715,2041,1071,184,18292,676,1049,1151,1112,232,1486,2,83,137,3,176,1053,882,5104
40061,576.525994,12704,6137,4864,2468,468,21280,1581,2498,3069,3184,418,3708,81,52,1340,219,277,80,2338,12006
40107,618.5688416,12115,5319,3962,2701,375,17281,1716,2091,2816,2138,322,4673,40,9,950,157,315,1372,2628,9871
