FIPS,POPUNI,PRED0_PE,PRED12_PE,PRED3_PE,3/31/21,BEDS,dem_pct,Agreeableness,Belief In Science,Collectivism,Conflict Awareness,Conscientiousness,Empathy,Employment Rate,Entrepreneurship,Extraversion,Gender Equality,Hopefulness,Income Per Capita,Neuroticism,Openness,Religiosity,Risk Taking,Selflessness,Tolerance,Work Ethic,AREA_SQMI
1055,101051,31.43,40.89,27.68,343,627.0,24.23524974857526,84.8839837,61.94823455,66.62609695,61.56017661,81.87561882,82.08570079,94.0,9.90447461,87.27177915,68.76790518,80.99336399,21287.0,79.67478262,78.59876781,78.20544022,60.02772136,78.24760824,65.74609224,67.03767029,535.2816213
1057,16197,26.59,42.08,31.34,59,61.0,15.91375770020534,85.83776943,63.07038,65.34624722,56.83014184,82.89570301,82.08764899,93.0,5.757575758,91.07592478,70.74112906,85.02587408,20201.0,77.33938561,76.13985705,76.3489371,68.09853597,78.56429787,68.71102155,65.97058725,627.6834307
1059,31274,27.7,43.9,28.4,82,125.0,16.584512641119414,86.55629145,64.88002884,67.82405613,58.2863539,82.49905633,79.62416304,93.9,9.272727273,86.60613934,69.51438331,62.33988587,18193.0,81.1914604,78.73886908,80.24465659,44.10057141,74.87149167,69.39403864,69.8654576,633.9182505
1061,26218,33.6,37.12,29.29,74,83.0,12.714228776404942,86.93414681,60.17216964,69.35225624,46.66941695,83.48120693,82.25885957,94.1,20.30456853,87.96317762,70.22230116,81.9439605,20189.0,80.60547725,77.58156972,79.45904693,72.06955953,76.59818863,70.70649497,66.97262377,574.4802646
1063,8111,18.9,40.27,40.83,34,20.0,81.34031413612566,89.8889134,62.47755096,63.22749764,48.41942515,85.43166546,60.56651441,89.9,8.943089431,86.52388129,70.77106702,81.52632199,13679.0,75.71655172,77.77813551,81.8326266,72.81244453,75.60973507,68.79696258,68.33333287,647.0228053
1065,14597,23.5,43.44,33.05,73,39.0,59.0253164556962,94.20602676,63.27081518,66.83546456,49.36105227,87.74784636,76.23595035,92.2,14.49275362,86.58462912,66.84570246,60.33368068,19296.0,74.80128104,80.08496542,75.7739694,71.85733074,76.34604866,70.09219757,69.84114073,643.9822718
1067,17135,27.65,40.62,31.73,42,0.0,28.02753280275328,86.06650287,68.34656377,65.02191704,63.93672596,83.78833177,79.9152088,93.4,11.62790698,86.55744936,70.74922144,84.4858489,22825.0,79.63623411,79.72898417,74.73783555,63.37623048,75.53999386,68.57214982,65.50355399,561.7500782
1069,105267,32.39,40.66,26.95,272,655.0,27.975223615532883,85.92914436,67.61099921,66.13274138,65.20688532,84.58695436,82.2317639,94.1,10.75353218,88.16196624,69.02233107,84.46645665,24086.0,78.88463723,79.51080432,74.08194745,71.67221119,76.76334771,69.15415525,67.31600282,579.8690621
1071,51420,29.7,45.22,25.08,106,170.0,15.726011169402607,84.80478631,66.71338903,69.29520038,61.00336817,81.07330638,79.56387915,93.6,10.15911873,85.09285314,68.77567809,79.90166137,20487.0,81.47919684,79.31681862,73.56684964,71.06463107,78.9124667,70.52366012,64.09080179,1077.986767
1073,648693,34.5,40.03,25.47,1464,5602.0,55.758513171785616,87.26023361,52.17391305,77.15277778,67.00255102,85.36821856,80.55555556,94.1,11.12086259,88.02751227,64.09233822,80.75543545,28162.0,75.38583988,80.20688641,70.26866256,73.19050319,75.0,59.58333332,83.5,1111.3811726
1075,13753,29.2,42.19,28.61,33,0.0,13.596552203531212,85.12021248,63.71734375,65.44618654,60.24482953,83.5110679,82.1679032,94.3,12.74131274,87.9471736,69.92310707,85.07694751,20206.0,77.95133048,78.30946788,76.40167141,67.77302845,78.61762822,67.15840403,65.48171493,604.8460174
1077,91069,31.87,41.94,26.18,219,263.0,26.87250501815557,88.2171434,62.37234619,68.36192614,66.13532628,84.92906614,81.1885939,93.6,10.96112311,87.91830082,68.90679135,81.29236676,24893.0,77.44707157,78.84480162,76.42670907,71.50808008,76.24414701,67.03784281,70.50041794,668.0128629
1079,32816,31.64,35.41,32.95,94,98.0,22.21944981598153,86.66764653,70.46362948,70.26908623,65.60839746,82.52731428,80.50196202,93.0,8.421052632,90.3178709,69.80329768,79.22618512,21911.0,77.48563043,77.83620691,71.275117,75.83893939,77.50137202,70.46710346,70.16039411,690.6840635
1081,160116,38.29,43.21,18.5,166,314.0,38.992848045459,86.87580734,64.85197831,67.68340241,64.19836175,84.14780532,80.86691053,94.7,11.85879757,88.81181674,70.16004499,83.24761312,24951.0,76.44838446,77.229869,76.6212612,66.39572695,74.95595528,69.86293069,65.67190595,607.5503975
1083,96560,36.65,43.16,20.19,145,71.0,27.768863613283237,85.45673341,58.33333333,70.83333333,63.84161421,81.72708383,81.790079,94.7,9.829488465,88.12264787,70.74074073,74.50906344,26086.0,77.0892654,78.39051585,87.55050505,55.0,83.33333333,54.375,78.0,559.955192
1085,9692,17.65,45.27,37.07,53,0.0,72.74323335771763,85.32696209,65.70759277,68.08930015,62.54000702,85.94799797,79.43308846,89.2,7.246376812,87.34650799,67.2333782,83.75948348,18434.0,75.69004159,80.8739971,72.27380253,78.57341876,77.24667798,67.2389806,71.12855171,715.9108604
1087,16594,21.64,41.82,36.54,47,143.0,81.48572738736674,87.03558452,60.21743956,67.16701526,64.71260144,83.77211779,78.90164104,92.3,12.96296296,88.77238522,68.22919112,63.11372259,18385.0,76.18838133,77.69844268,76.09169483,49.20810769,74.05735626,68.68858905,70.88078965,608.827146
1089,366657,40.04,39.77,20.19,489,1088.0,44.81560017867503,85.69429957,64.0,78.125,61.9182595,83.0075265,79.89890521,94.8,11.5135635,87.34429075,66.16666667,70.29204431,33264.0,76.65084009,80.16123628,81.18955512,56.66666667,71.875,74.6875,58.66666668,801.5829707
1091,18794,24.76,38.82,36.42,58,99.0,50.348623853211,93.34694066,62.26245975,65.34769159,63.21907707,88.10073724,80.52573297,92.6,11.76470588,86.408734,66.32983437,81.29725758,20359.0,73.579941,79.40094146,77.00423606,68.61806477,78.06818273,69.72571667,69.03907484,976.8922062
1093,29285,28.35,45.38,26.27,99,120.0,10.5960744549866,86.28705699,61.73672131,68.14590293,50.17412186,81.35544635,74.42594755,93.3,11.72839506,88.05895439,67.53698567,82.98047721,20998.0,81.06789759,77.14804896,78.73456689,58.13707738,71.99959089,66.59648121,64.31916312,742.3415443
1095,96357,31.64,41.65,26.7,217,240.0,14.98676081200353,84.74156785,66.62435557,66.58719703,45.19174231,81.88122826,60.64181961,94.5,10.47032475,85.02097891,69.82100927,82.17226122,21767.0,81.1099763,79.15535111,76.19529346,63.06931789,75.56806102,67.41404828,65.02749539,565.8447822
1097,409100,31.82,42.28,25.9,792,1847.0,43.38953069380446,86.99329612,63.83062587,69.58626241,63.06741154,84.51373027,80.76009316,93.1,10.12941176,86.80542941,67.36656032,86.27856274,23318.0,78.22508842,79.65285316,73.66629727,72.82592486,77.6796708,69.27954559,70.74034939,1229.3692434
1099,20678,24.93,37.16,37.91,39,94.0,41.76040494938133,88.10561666,65.08060307,67.14425168,49.44613692,84.52732841,61.16417897,90.6,8.674698795,87.3126015,69.98659483,79.9128302,16556.0,77.40666635,77.22186716,75.87971635,72.97094547,77.13979483,70.34239508,68.54289224,1025.6682491
1101,219377,30.11,42.03,27.86,552,948.0,65.08941990538537,87.24157135,73.21428572,72.5,66.20612132,86.06394234,82.57413637,94.1,9.338103757,87.20725163,69.56228956,82.42168866,26255.0,74.19553796,79.98841485,86.91365712,79.76190476,75.0,65.3125,67.5952381,785.2999995
1103,118554,31.19,44.1,24.71,263,402.0,24.634228062990957,86.1392312,75.0,58.33333333,62.75181933,82.89008847,79.67163701,94.4,9.247648903,88.4038564,69.84848484,84.13897281,24415.0,78.7651258,77.95781574,89.52762924,20.0,75.0,66.87499999,54.66666667,579.389645
1105,8349,23.18,39.93,36.89,27,0.0,73.80497131931166,90.90842653,60.93907559,68.43744446,62.08016002,87.68906027,80.54239946,89.4,10.95890411,86.27767995,65.69560429,63.23407141,14033.0,76.20857656,79.34536797,73.69067948,74.29796881,78.10344039,66.70164165,70.8321464,719.6557576
1107,18216,22.59,42.06,35.35,57,56.0,41.60115846090194,85.74192237,65.44382974,66.94632758,61.46554766,84.32328704,80.69680954,93.1,11.35646688,90.13726415,67.77622488,85.48683589,19188.0,75.95092783,77.2693198,72.32466172,71.69924139,75.93750371,64.24413366,70.67582107,881.4298763
